=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 300 | Iterations: 5000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  4          | 20         |                     22.6%
  5          | 20         |                     31.6%
  6          | 20         |                     41.6%
  7          | 20         |                     50.6%
  8          | 20         |                     57.4%
  9          | 20         |                     64.9%
  10         | 20         |                     70.8%
  2          | 30         |                      0.0%
  3          | 30         |                      1.3%
  4          | 30         |                     41.8%
  5          | 30         |                     60.9%
  6          | 30         |                     76.4%
  7          | 30         |                     86.5%
  8          | 30         |                     92.1%
  9          | 30         |                     95.2%
  10         | 30         |                     97.7%
  2          | 40         |                      0.0%
  3          | 40         |                      0.1%
  4          | 40         |                     85.4%
  5          | 40         |                     96.9%
  6          | 40         |                     99.3%
  7          | 40         |                     99.9%
  8          | 40         |                    100.0%
  9          | 40         |                    100.0%
  10         | 40         |                    100.0%
  2          | 50         |                      0.0%
  3          | 50         |                      0.1%
  4          | 50         |                     97.1%
  5          | 50         |                     99.9%
  6          | 50         |                    100.0%
  7          | 50         |                    100.0%
  8          | 50         |                    100.0%
  9          | 50         |                    100.0%
  10         | 50         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.1%
  4          | 60         |                     93.6%
  5          | 60         |                     99.2%
  6          | 60         |                     99.9%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.1%
  4          | 70         |                     98.8%
  5          | 70         |                    100.0%
  6          | 70         |                    100.0%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.1%
  4          | 80         |                     98.9%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     98.2%
  5          | 90         |                    100.0%
  6          | 90         |                    100.0%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     99.8%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: OPPOSITE_EQ_0
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.2%
  4          | 20         |                     31.0%
  5          | 20         |                     40.1%
  6          | 20         |                     51.3%
  7          | 20         |                     60.5%
  8          | 20         |                     69.0%
  9          | 20         |                     74.9%
  10         | 20         |                     80.3%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     39.3%
  5          | 30         |                     57.3%
  6          | 30         |                     69.0%
  7          | 30         |                     80.6%
  8          | 30         |                     87.2%
  9          | 30         |                     91.8%
  10         | 30         |                     95.5%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     70.0%
  5          | 40         |                     87.2%
  6          | 40         |                     94.5%
  7          | 40         |                     98.0%
  8          | 40         |                     99.1%
  9          | 40         |                     99.7%
  10         | 40         |                    100.0%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     73.5%
  5          | 50         |                     87.9%
  6          | 50         |                     94.3%
  7          | 50         |                     97.6%
  8          | 50         |                     99.2%
  9          | 50         |                     99.8%
  10         | 50         |                     99.9%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     83.6%
  5          | 60         |                     94.3%
  6          | 60         |                     98.6%
  7          | 60         |                     99.7%
  8          | 60         |                     99.9%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                     91.2%
  5          | 70         |                     98.9%
  6          | 70         |                     99.9%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     97.7%
  5          | 80         |                     99.9%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     96.5%
  5          | 90         |                     99.8%
  6          | 90         |                    100.0%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     97.4%
  5          | 100        |                     99.9%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.8%
  4          | 20         |                     13.2%
  5          | 20         |                     18.6%
  6          | 20         |                     24.1%
  7          | 20         |                     32.7%
  8          | 20         |                     39.3%
  9          | 20         |                     44.1%
  10         | 20         |                     49.1%
  2          | 30         |                      0.0%
  3          | 30         |                      1.2%
  4          | 30         |                     15.3%
  5          | 30         |                     24.4%
  6          | 30         |                     37.7%
  7          | 30         |                     51.5%
  8          | 30         |                     59.8%
  9          | 30         |                     68.0%
  10         | 30         |                     72.2%
  2          | 40         |                      0.0%
  3          | 40         |                      0.2%
  4          | 40         |                     60.0%
  5          | 40         |                     79.0%
  6          | 40         |                     89.2%
  7          | 40         |                     95.5%
  8          | 40         |                     98.2%
  9          | 40         |                     99.3%
  10         | 40         |                     99.8%
  2          | 50         |                      0.0%
  3          | 50         |                      0.6%
  4          | 50         |                     81.2%
  5          | 50         |                     94.2%
  6          | 50         |                     98.4%
  7          | 50         |                     99.8%
  8          | 50         |                    100.0%
  9          | 50         |                    100.0%
  10         | 50         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.3%
  4          | 60         |                     72.5%
  5          | 60         |                     89.3%
  6          | 60         |                     96.7%
  7          | 60         |                     98.6%
  8          | 60         |                     99.8%
  9          | 60         |                     99.9%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.2%
  4          | 70         |                     92.7%
  5          | 70         |                     98.2%
  6          | 70         |                     99.8%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.1%
  4          | 80         |                     90.8%
  5          | 80         |                     97.7%
  6          | 80         |                     99.2%
  7          | 80         |                     99.9%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.1%
  4          | 90         |                     94.0%
  5          | 90         |                     98.4%
  6          | 90         |                     99.6%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     94.0%
  5          | 100        |                     99.5%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: CONGENIAL_COUNT
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     20.6%
  5          | 20         |                     28.2%
  6          | 20         |                     35.3%
  7          | 20         |                     42.8%
  8          | 20         |                     49.7%
  9          | 20         |                     56.1%
  10         | 20         |                     63.9%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     42.4%
  5          | 30         |                     57.0%
  6          | 30         |                     68.5%
  7          | 30         |                     78.5%
  8          | 30         |                     85.8%
  9          | 30         |                     89.9%
  10         | 30         |                     94.3%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     52.5%
  5          | 40         |                     72.4%
  6          | 40         |                     83.7%
  7          | 40         |                     91.6%
  8          | 40         |                     95.6%
  9          | 40         |                     97.9%
  10         | 40         |                     99.1%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     60.6%
  5          | 50         |                     77.7%
  6          | 50         |                     88.1%
  7          | 50         |                     93.9%
  8          | 50         |                     96.9%
  9          | 50         |                     98.0%
  10         | 50         |                     99.3%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     79.0%
  5          | 60         |                     92.3%
  6          | 60         |                     96.5%
  7          | 60         |                     99.0%
  8          | 60         |                     99.7%
  9          | 60         |                     99.9%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                     85.3%
  5          | 70         |                     97.2%
  6          | 70         |                     99.4%
  7          | 70         |                     99.9%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     93.5%
  5          | 80         |                     99.1%
  6          | 80         |                     99.8%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     90.7%
  5          | 90         |                     98.6%
  6          | 90         |                     99.8%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     87.2%
  5          | 100        |                     95.9%
  6          | 100        |                     99.5%
  7          | 100        |                     99.8%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     42.1%
  5          | 20         |                     59.6%
  6          | 20         |                     70.0%
  7          | 20         |                     80.4%
  8          | 20         |                     86.6%
  9          | 20         |                     91.6%
  10         | 20         |                     94.2%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     73.3%
  5          | 30         |                     88.8%
  6          | 30         |                     94.5%
  7          | 30         |                     97.8%
  8          | 30         |                     99.2%
  9          | 30         |                     99.7%
  10         | 30         |                    100.0%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     93.4%
  5          | 40         |                     98.1%
  6          | 40         |                     99.5%
  7          | 40         |                    100.0%
  8          | 40         |                    100.0%
  9          | 40         |                    100.0%
  10         | 40         |                    100.0%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     99.7%
  5          | 50         |                    100.0%
  6          | 50         |                    100.0%
  7          | 50         |                    100.0%
  8          | 50         |                    100.0%
  9          | 50         |                    100.0%
  10         | 50         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     99.2%
  5          | 60         |                    100.0%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                    100.0%
  5          | 70         |                    100.0%
  6          | 70         |                    100.0%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                    100.0%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     99.9%
  5          | 90         |                    100.0%
  6          | 90         |                    100.0%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     99.8%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: CONTRARY_COUNT
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     40.6%
  5          | 20         |                     54.9%
  6          | 20         |                     66.3%
  7          | 20         |                     74.9%
  8          | 20         |                     82.2%
  9          | 20         |                     87.5%
  10         | 20         |                     91.7%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     41.8%
  5          | 30         |                     59.5%
  6          | 30         |                     72.6%
  7          | 30         |                     82.9%
  8          | 30         |                     89.1%
  9          | 30         |                     92.8%
  10         | 30         |                     95.7%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     77.9%
  5          | 40         |                     92.9%
  6          | 40         |                     97.8%
  7          | 40         |                     99.3%
  8          | 40         |                     99.8%
  9          | 40         |                     99.9%
  10         | 40         |                    100.0%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     70.7%
  5          | 50         |                     85.9%
  6          | 50         |                     93.1%
  7          | 50         |                     97.2%
  8          | 50         |                     99.2%
  9          | 50         |                     99.6%
  10         | 50         |                     99.8%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     88.1%
  5          | 60         |                     96.0%
  6          | 60         |                     99.2%
  7          | 60         |                     99.9%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                     93.3%
  5          | 70         |                     99.1%
  6          | 70         |                     99.9%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     98.0%
  5          | 80         |                     99.8%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     98.0%
  5          | 90         |                     99.9%
  6          | 90         |                    100.0%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     97.6%
  5          | 100        |                     99.9%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     36.7%
  5          | 20         |                     51.0%
  6          | 20         |                     62.9%
  7          | 20         |                     73.0%
  8          | 20         |                     81.2%
  9          | 20         |                     86.3%
  10         | 20         |                     90.3%
  2          | 30         |                      0.0%
  3          | 30         |                      0.0%
  4          | 30         |                     57.1%
  5          | 30         |                     75.5%
  6          | 30         |                     85.5%
  7          | 30         |                     92.6%
  8          | 30         |                     96.0%
  9          | 30         |                     97.8%
  10         | 30         |                     99.1%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     84.5%
  5          | 40         |                     96.5%
  6          | 40         |                     99.4%
  7          | 40         |                     99.9%
  8          | 40         |                    100.0%
  9          | 40         |                    100.0%
  10         | 40         |                    100.0%
  2          | 50         |                      0.0%
  3          | 50         |                      0.0%
  4          | 50         |                     99.1%
  5          | 50         |                    100.0%
  6          | 50         |                    100.0%
  7          | 50         |                    100.0%
  8          | 50         |                    100.0%
  9          | 50         |                    100.0%
  10         | 50         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     93.2%
  5          | 60         |                     99.2%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 70         |                      0.0%
  3          | 70         |                      0.0%
  4          | 70         |                     99.9%
  5          | 70         |                    100.0%
  6          | 70         |                    100.0%
  7          | 70         |                    100.0%
  8          | 70         |                    100.0%
  9          | 70         |                    100.0%
  10         | 70         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     99.5%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 90         |                      0.0%
  3          | 90         |                      0.0%
  4          | 90         |                     99.8%
  5          | 90         |                    100.0%
  6          | 90         |                    100.0%
  7          | 90         |                    100.0%
  8          | 90         |                    100.0%
  9          | 90         |                    100.0%
  10         | 90         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     98.9%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%
