=== MONTE CARLO COST EFFICIENCY SUMMARY ===
Pool Size: 150 | Iterations: 2000

################################################################################
# METRIC: TARGET_GT_2
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  4          | 100        |                    100.0%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: OPPOSITE_EQ_0
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.1%
  4          | 20         |                      4.8%
  5          | 20         |                      6.4%
  6          | 20         |                      7.8%
  7          | 20         |                      8.8%
  8          | 20         |                     10.2%
  9          | 20         |                     12.8%
  10         | 20         |                     13.4%
  2          | 40         |                      0.0%
  3          | 40         |                      0.1%
  4          | 40         |                     57.6%
  5          | 40         |                     75.5%
  6          | 40         |                     87.4%
  7          | 40         |                     93.8%
  8          | 40         |                     97.5%
  9          | 40         |                     98.6%
  10         | 40         |                     99.4%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     60.4%
  5          | 60         |                     77.0%
  6          | 60         |                     87.3%
  7          | 60         |                     93.5%
  8          | 60         |                     97.0%
  9          | 60         |                     98.7%
  10         | 60         |                     99.6%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     90.9%
  5          | 80         |                     98.4%
  6          | 80         |                    100.0%
  7          | 80         |                     99.9%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     84.1%
  5          | 100        |                     96.4%
  6          | 100        |                     99.2%
  7          | 100        |                     99.9%
  8          | 100        |                     99.9%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      1.7%
  4          | 20         |                     12.9%
  5          | 20         |                     27.0%
  6          | 20         |                     43.9%
  7          | 20         |                     56.8%
  8          | 20         |                     70.0%
  9          | 20         |                     75.2%
  10         | 20         |                     79.4%
  2          | 40         |                      0.0%
  3          | 40         |                      1.5%
  4          | 40         |                     46.8%
  5          | 40         |                     63.2%
  6          | 40         |                     75.1%
  7          | 40         |                     81.7%
  8          | 40         |                     88.0%
  9          | 40         |                     92.4%
  10         | 40         |                     94.4%
  2          | 60         |                      0.0%
  3          | 60         |                      0.4%
  4          | 60         |                     87.3%
  5          | 60         |                     97.2%
  6          | 60         |                     99.4%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.1%
  4          | 80         |                     97.8%
  5          | 80         |                     99.9%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.1%
  4          | 100        |                    100.0%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: CONGENIAL_COUNT
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                      3.5%
  5          | 20         |                      4.9%
  6          | 20         |                      4.5%
  7          | 20         |                      4.7%
  8          | 20         |                      6.2%
  9          | 20         |                      5.3%
  10         | 20         |                      5.5%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     43.2%
  5          | 40         |                     63.8%
  6          | 40         |                     76.6%
  7          | 40         |                     85.5%
  8          | 40         |                     90.4%
  9          | 40         |                     95.9%
  10         | 40         |                     96.9%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     40.8%
  5          | 60         |                     62.2%
  6          | 60         |                     76.9%
  7          | 60         |                     84.7%
  8          | 60         |                     90.0%
  9          | 60         |                     93.5%
  10         | 60         |                     96.9%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     72.0%
  5          | 80         |                     89.5%
  6          | 80         |                     96.9%
  7          | 80         |                     99.1%
  8          | 80         |                     99.7%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     76.4%
  5          | 100        |                     93.8%
  6          | 100        |                     98.5%
  7          | 100        |                     99.6%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     80.3%
  5          | 20         |                     94.9%
  6          | 20         |                     99.1%
  7          | 20         |                     99.7%
  8          | 20         |                    100.0%
  9          | 20         |                    100.0%
  10         | 20         |                    100.0%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     91.2%
  5          | 40         |                     96.9%
  6          | 40         |                     99.5%
  7          | 40         |                    100.0%
  8          | 40         |                    100.0%
  9          | 40         |                    100.0%
  10         | 40         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     97.4%
  5          | 60         |                    100.0%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                    100.0%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                    100.0%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

################################################################################
# METRIC: CONTRARY_COUNT
################################################################################

TARGET CATEGORY: LEFT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.1%
  4          | 20         |                      6.8%
  5          | 20         |                      6.7%
  6          | 20         |                     10.3%
  7          | 20         |                     12.8%
  8          | 20         |                     16.6%
  9          | 20         |                     17.0%
  10         | 20         |                     19.1%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     60.5%
  5          | 40         |                     79.1%
  6          | 40         |                     90.0%
  7          | 40         |                     96.0%
  8          | 40         |                     97.5%
  9          | 40         |                     98.8%
  10         | 40         |                     99.5%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     64.9%
  5          | 60         |                     81.0%
  6          | 60         |                     90.8%
  7          | 60         |                     95.4%
  8          | 60         |                     98.2%
  9          | 60         |                     99.3%
  10         | 60         |                     99.8%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                     92.5%
  5          | 80         |                     99.6%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                     87.1%
  5          | 100        |                     97.3%
  6          | 100        |                     99.7%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%

TARGET CATEGORY: RIGHT USERS
==================================================
  Trials (T) | Nodes (N)  | Statistical Power (%)
  -----------+------------+--------------------------
  2          | 20         |                      0.0%
  3          | 20         |                      0.0%
  4          | 20         |                     65.2%
  5          | 20         |                     83.0%
  6          | 20         |                     92.0%
  7          | 20         |                     96.9%
  8          | 20         |                     98.6%
  9          | 20         |                     99.5%
  10         | 20         |                    100.0%
  2          | 40         |                      0.0%
  3          | 40         |                      0.0%
  4          | 40         |                     79.6%
  5          | 40         |                     89.0%
  6          | 40         |                     95.4%
  7          | 40         |                     98.8%
  8          | 40         |                     99.1%
  9          | 40         |                     99.7%
  10         | 40         |                    100.0%
  2          | 60         |                      0.0%
  3          | 60         |                      0.0%
  4          | 60         |                     99.6%
  5          | 60         |                    100.0%
  6          | 60         |                    100.0%
  7          | 60         |                    100.0%
  8          | 60         |                    100.0%
  9          | 60         |                    100.0%
  10         | 60         |                    100.0%
  2          | 80         |                      0.0%
  3          | 80         |                      0.0%
  4          | 80         |                    100.0%
  5          | 80         |                    100.0%
  6          | 80         |                    100.0%
  7          | 80         |                    100.0%
  8          | 80         |                    100.0%
  9          | 80         |                    100.0%
  10         | 80         |                    100.0%
  2          | 100        |                      0.0%
  3          | 100        |                      0.0%
  4          | 100        |                    100.0%
  5          | 100        |                    100.0%
  6          | 100        |                    100.0%
  7          | 100        |                    100.0%
  8          | 100        |                    100.0%
  9          | 100        |                    100.0%
  10         | 100        |                    100.0%
